keyword,count
climate change,102
climate crisis,70
Plato,61
Climate Academy,57
students,53
capitalism,47
India,45
democracy,38
Academy,31
Rousseau,31
history,30
media,29
Socrates,29
CUTx Index,27
UK,26
Anthropocene,26
carbon budget,25
planetary boundaries,24
greenhouse gases,22
Piraeus,22
tipping points,20
education,20
,19
innovation,19
UNFCCC,17
sustainability,16
UN,16
USA,16
human history,14
human civilisation,14
Civil Rights Movement,14
recycling,13
BBC,13
Tennis Court Oath,13
Pakistan,13
humans,12
Germany,12
climate anxiety,12
Athenians,12
psychology,11
greenhouse gas emissions,11
biodiversity,11
Bangladesh,11
East India Company,11
famine,11
culture,11
Rosa Parks,11
Kafka,11
Geometry,11
United Nations,10
